name,wiki_url
Qing Dynasty (1800),https://en.wikipedia.org/wiki/Qing_dynasty
Northern Song Dynasty (1100),https://en.wikipedia.org/wiki/Northern_Song_Dynasty
Western Han Dynasty (1),https://en.wikipedia.org/wiki/Han_dynasty
Mongol Empire (1290),https://en.wikipedia.org/wiki/Mongol_Empire
Roman Empire (150),https://en.wikipedia.org/wiki/Roman_Empire
Jin Dynasty (280),https://en.wikipedia.org/wiki/Jin_dynasty_(266%E2%80%93420)
Ming Dynasty (1600),https://en.wikipedia.org/wiki/Ming_dynasty
Qin Dynasty (220 BC),https://en.wikipedia.org/wiki/Qin_dynasty
Mughal Empire (1700),https://en.wikipedia.org/wiki/Mughal_Empire
Tang Dynasty (900),https://en.wikipedia.org/wiki/Tang_dynasty
Delhi Sultanate (1350),https://en.wikipedia.org/wiki/Delhi_Sultanate
British Empire (1938),https://en.wikipedia.org/wiki/British_Empire
Empire of Japan (1943),https://en.wikipedia.org/wiki/Empire_of_Japan
Russian Empire (1895),https://en.wikipedia.org/wiki/Russian_Empire
Spanish Empire (1810),https://en.wikipedia.org/wiki/Spanish_Empire
Ottoman Empire (1683),https://en.wikipedia.org/wiki/Ottoman_Empire
United States (1899),https://en.wikipedia.org/wiki/United_States
